"it" "im" "dep" "meth" "out"
"77" 2 1 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"78" 2 1 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"79" 2 1 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"80" 2 1 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"81" 2 1 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"82" 2 2 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"83" 2 2 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"84" 2 2 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"85" 2 2 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"86" 2 2 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"87" 2 2 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"88" 2 2 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"89" 2 2 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"90" 2 2 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"91" 2 2 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"92" 2 3 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"93" 2 3 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"94" 2 3 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"95" 2 3 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"96" 2 3 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"97" 2 3 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"98" 2 3 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"99" 2 3 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"100" 2 3 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"101" 2 3 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"102" 2 4 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"103" 2 4 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"104" 2 4 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"105" 2 4 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"106" 2 4 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"107" 2 4 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"108" 2 4 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"109" 2 4 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"110" 2 4 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"111" 2 4 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"112" 2 5 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"113" 2 5 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"114" 2 5 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"115" 2 5 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"116" 2 5 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"117" 2 5 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"118" 2 5 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"119" 2 5 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"120" 2 5 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"121" 2 5 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"122" 2 6 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"123" 2 6 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"124" 2 6 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"125" 2 6 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"126" 2 6 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"127" 2 6 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"128" 2 6 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"129" 2 6 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"130" 2 6 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"131" 2 6 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"132" 2 7 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"133" 2 7 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"134" 2 7 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"135" 2 7 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"136" 2 7 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"137" 2 7 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"138" 2 7 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"139" 2 7 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"140" 2 7 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"141" 2 7 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"142" 2 8 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"143" 2 8 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"144" 2 8 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"145" 2 8 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"146" 2 8 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"147" 2 8 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"148" 2 8 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"149" 2 8 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"150" 2 8 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"151" 2 8 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"152" 2 9 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"153" 2 9 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"154" 2 9 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"155" 2 9 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"156" 2 9 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"157" 2 9 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"158" 2 9 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"159" 2 9 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"160" 2 9 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"161" 2 9 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"162" 2 10 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"163" 2 10 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"164" 2 10 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"165" 2 10 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"166" 2 10 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"167" 2 10 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"168" 2 10 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"169" 2 10 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"170" 2 10 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"171" 2 10 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"172" 2 11 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"173" 2 11 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"174" 2 11 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"175" 2 11 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"176" 2 11 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"177" 2 11 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"178" 2 11 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"179" 2 11 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"180" 2 11 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"181" 2 11 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"182" 2 12 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"183" 2 12 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
