"it" "im" "dep" "meth" "out"
"77" 1 14 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"78" 1 14 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"79" 1 14 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"80" 1 14 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"81" 1 14 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"82" 1 14 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"83" 1 15 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"84" 1 15 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"85" 1 15 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"86" 1 15 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"87" 1 15 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"88" 1 15 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"89" 2 1 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"90" 2 1 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"91" 2 1 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"92" 2 1 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"93" 2 1 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"94" 2 1 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"95" 2 1 "Coparent_item6_Father_Year5" "pmm" "Coparent_Total_Mother"
"96" 2 1 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"97" 2 1 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"98" 2 1 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"99" 2 1 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
