"it" "im" "dep" "meth" "out"
"76" 1 11 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"77" 1 11 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"78" 1 12 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"79" 1 12 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"80" 1 12 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"81" 1 12 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"82" 1 12 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"83" 1 12 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"84" 1 12 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"85" 1 13 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"86" 1 13 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"87" 1 13 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"88" 1 13 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"89" 1 13 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"90" 1 13 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"91" 1 13 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"92" 1 14 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"93" 1 14 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"94" 1 14 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"95" 1 15 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"96" 1 15 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"97" 1 15 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"98" 1 15 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"99" 1 15 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"100" 1 15 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"101" 1 15 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"102" 2 1 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"103" 2 1 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"104" 2 1 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"105" 2 1 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"106" 2 1 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"107" 2 1 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"108" 2 1 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"109" 2 1 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"110" 2 1 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"111" 2 1 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"112" 2 2 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"113" 2 2 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"114" 2 2 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"115" 2 2 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"116" 2 2 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"117" 2 2 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"118" 2 2 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"119" 2 2 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"120" 2 2 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"121" 2 2 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"122" 2 3 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"123" 2 3 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"124" 2 3 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"125" 2 3 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"126" 2 3 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
