"it" "im" "dep" "meth" "out"
"76" 1 8 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"77" 1 8 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"78" 1 8 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"79" 1 8 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"80" 1 8 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"81" 1 9 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"82" 1 9 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"83" 1 9 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"84" 1 9 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"85" 1 9 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"86" 1 9 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"87" 1 9 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"88" 1 9 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"89" 1 9 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"90" 1 9 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"91" 1 10 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"92" 1 10 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"93" 1 10 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"94" 1 10 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"95" 1 10 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"96" 1 10 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"97" 1 10 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"98" 1 10 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"99" 1 10 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"100" 1 10 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"101" 1 11 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"102" 1 11 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"103" 1 11 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"104" 1 11 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"105" 1 11 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"106" 1 11 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"107" 1 11 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"108" 1 11 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"109" 1 11 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"110" 1 11 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"111" 1 12 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"112" 1 12 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"113" 1 12 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"114" 1 12 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"115" 1 12 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"116" 1 12 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"117" 1 12 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"118" 1 12 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"119" 1 12 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"120" 1 12 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"121" 1 13 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"122" 1 13 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"123" 1 13 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"124" 1 13 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"125" 1 13 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"126" 1 13 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"127" 1 13 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"128" 1 13 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"129" 1 13 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"130" 1 13 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"131" 1 14 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"132" 1 14 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"133" 1 14 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"134" 1 14 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"135" 1 14 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"136" 1 14 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"137" 1 14 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"138" 1 14 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"139" 1 14 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"140" 1 14 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"141" 1 15 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"142" 1 15 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"143" 1 15 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"144" 1 15 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"145" 1 15 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"146" 1 15 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"147" 1 15 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"148" 1 15 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"149" 1 15 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"150" 1 15 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"151" 2 1 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"152" 2 1 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"153" 2 1 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"154" 2 1 "Coparent_item6_Father_Year5" "pmm" "Coparent_Total_Mother"
"155" 2 1 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"156" 2 1 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"157" 2 1 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"158" 2 1 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"159" 2 1 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"160" 2 1 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"161" 2 1 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"162" 2 1 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"163" 2 1 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"164" 2 1 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"165" 2 2 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"166" 2 2 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"167" 2 2 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"168" 2 2 "Coparent_item6_Father_Year5" "pmm" "Coparent_Total_Mother"
"169" 2 2 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"170" 2 2 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"171" 2 2 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"172" 2 2 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"173" 2 2 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"174" 2 2 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"175" 2 2 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"176" 2 2 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"177" 2 2 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"178" 2 2 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"179" 2 3 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"180" 2 3 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"181" 2 3 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"182" 2 3 "Coparent_item6_Father_Year5" "pmm" "Coparent_Total_Mother"
"183" 2 3 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"184" 2 3 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"185" 2 3 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"186" 2 3 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"187" 2 3 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"188" 2 3 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"189" 2 3 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"190" 2 3 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"191" 2 3 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"192" 2 3 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"193" 2 4 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"194" 2 4 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"195" 2 4 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"196" 2 4 "Coparent_item6_Father_Year5" "pmm" "Coparent_Total_Mother"
"197" 2 4 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"198" 2 4 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"199" 2 4 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"200" 2 4 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"201" 2 4 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"202" 2 4 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"203" 2 4 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"204" 2 4 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"205" 2 4 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"206" 2 4 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"207" 2 5 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"208" 2 5 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"209" 2 5 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"210" 2 5 "Coparent_item6_Father_Year5" "pmm" "Coparent_Total_Mother"
"211" 2 5 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"212" 2 5 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"213" 2 5 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
